ime,zvrst in število epizod,čas nastajanja,število uporabnikov,ocena
Uchuu Senkan Yamato 2199,OVA (26 eps),May 2012 - Oct 2013,"116,857",8.32
Bakemonogatari,TV (15 eps),Jul 2009 - Jun 2010,"1,412,636",8.32
Fate/stay night: Unlimited Blade Works 2nd Season,TV (13 eps),Apr 2015 - Jun 2015,"862,715",8.32
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,Movie (12 eps),Mar 2022 - May 2022,"21,874",8.31
Given,TV (11 eps),Jul 2019 - Sep 2019,"581,129",8.31
Hunter x Hunter: Original Video Animation,OVA (8 eps),Jan 2002 - Apr 2002,"128,490",8.31
Kingdom 2nd Season,TV (39 eps),Jun 2013 - Mar 2014,"129,831",8.31
Natsume Yuujinchou,TV (13 eps),Jul 2008 - Sep 2008,"546,518",8.31
Natsume Yuujinchou Go Specials,Special (2 eps),Mar 2017 - Apr 2017,"47,126",8.31
NHK ni Youkoso!,TV (24 eps),Jul 2006 - Dec 2006,"756,199",8.31
Ookami to Koushinryou II,TV (12 eps),Jul 2009 - Sep 2009,"499,088",8.31
Sasaki to Miyano Movie: Sotsugyou-hen,Movie (1 eps),Feb 2023 - Feb 2023,"45,714",8.31
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,Movie (1 eps),Dec 2023 - Dec 2023,"92,446",8.31
Violet Evergarden: Recollections,Special (1 eps),Oct 2021 - Oct 2021,"33,219",8.30
86,TV (11 eps),Apr 2021 - Jun 2021,"799,304",8.30
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV (11 eps),Apr 2011 - Jun 2011,"1,620,471",8.30
Ashita no Joe,TV (79 eps),Apr 1970 - Sep 1971,"94,929",8.30
Boku dake ga Inai Machi,TV (12 eps),Jan 2016 - Mar 2016,"2,120,588",8.30
Diamond no Ace: Second Season,TV (51 eps),Apr 2015 - Mar 2016,"139,794",8.30
Evangelion Movie 2: Ha,Movie (1 eps),Jul 2009 - Jul 2009,"550,335",8.30
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,Movie (12 eps),Sep 2022 - Nov 2022,"14,888",8.30
Katanagatari,TV (12 eps),Jan 2010 - Dec 2010,"566,786",8.30
Kemono no Souja Erin,TV (50 eps),Jan 2009 - Dec 2009,"87,682",8.30
Luo Xiao Hei Zhan Ji (Movie),Movie (1 eps),Sep 2019 - Sep 2019,"27,503",8.30
Sakamichi no Apollon,TV (12 eps),Apr 2012 - Jun 2012,"390,140",8.30
Kuroko no Basket 3rd Season,TV (25 eps),Jan 2015 - Jun 2015,"772,377",8.29
Meitantei Conan Movie 06: Baker Street no Bourei,Movie (1 eps),Apr 2002 - Apr 2002,"79,239",8.29
Ore dake Level Up na Ken,TV (12 eps),Jan 2024 - Mar 2024,"710,969",8.29
Steins;Gate: Oukoubakko no Poriomania,Special (1 eps),Feb 2012 - Feb 2012,"443,673",8.29
Suzume no Tojimari,Movie (1 eps),Nov 2022 - Nov 2022,"376,205",8.29
Tunshi Xingkong 2nd Season,ONA (26 eps),Dec 2021 - Sep 2022,"5,997",8.29
Beck,TV (26 eps),Oct 2004 - Mar 2005,"346,291",8.29
Initial D Final Stage,TV (4 eps),May 2014 - Jun 2014,"147,374",8.29
Boku no Hero Academia 6th Season,TV (25 eps),Oct 2022 - Mar 2023,"668,331",8.28
Doukyuusei (Movie),Movie (1 eps),Feb 2016 - Feb 2016,"274,114",8.28
Gintama: Shinyaku Benizakura-hen,Special (1 eps),Dec 2010 - Dec 2010,"44,525",8.28
Hotarubi no Mori e,Movie (1 eps),Sep 2011 - Sep 2011,"831,329",8.28
Kage no Jitsuryokusha ni Naritakute!,TV (20 eps),Oct 2022 - Feb 2023,"669,395",8.28
Kino no Tabi: The Beautiful World,TV (13 eps),Apr 2003 - Jul 2003,"322,435",8.28
Major: World Series,OVA (2 eps),Dec 2011 - Jan 2012,"37,255",8.28
Redline,Movie (1 eps),Aug 2009 - Aug 2009,"384,543",8.28
Rurouni Kenshin: Meiji Kenkaku Romantan,TV (94 eps),Jan 1996 - Sep 1998,"499,989",8.28
Tokyo Godfathers,Movie (1 eps),Nov 2003 - Nov 2003,"298,607",8.28
Yuukoku no Moriarty Part 2,TV (13 eps),Apr 2021 - Jun 2021,"258,004",8.28
Shirobako,TV (24 eps),Oct 2014 - Mar 2015,"448,879",8.27
Tenki no Ko,Movie (1 eps),Jul 2019 - Jul 2019,"1,018,358",8.27
Tsubasa: Tokyo Revelations,OVA (3 eps),Nov 2007 - Mar 2008,"96,592",8.27
Yuru Camp△,TV (12 eps),Jan 2018 - Mar 2018,"500,294",8.27
Diamond no Ace: Act II,TV (52 eps),Apr 2019 - Mar 2020,"92,006",8.27
Dr. Stone,TV (24 eps),Jul 2019 - Dec 2019,"1,765,972",8.27
Fate/Zero,TV (13 eps),Oct 2011 - Dec 2011,"1,514,790",8.27
Gin no Saji 2nd Season,TV (11 eps),Jan 2014 - Mar 2014,"147,146",8.27
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,Movie (4 eps),Nov 2019 - Nov 2019,"26,811",8.27
Koukaku Kidoutai,Movie (1 eps),Nov 1995 - Nov 1995,"645,416",8.27
Naruto: Shippuuden,TV (500 eps),Feb 2007 - Mar 2017,"2,518,569",8.27
Nodame Cantabile,TV (23 eps),Jan 2007 - Jun 2007,"317,535",8.26
Shinsekai yori,TV (25 eps),Sep 2012 - Mar 2013,"784,359",8.26
Space☆Dandy 2nd Season,TV (13 eps),Jul 2014 - Sep 2014,"170,129",8.26
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Special (1 eps),Dec 2015 - Dec 2015,"265,705",8.26
Tenkuu no Shiro Laputa,Movie (1 eps),Aug 1986 - Aug 1986,"496,420",8.26
Gyakkyou Burai Kaiji: Ultimate Survivor,TV (26 eps),Oct 2007 - Apr 2008,"359,176",8.26
Hajime no Ippo: Champion Road,TV Special (1 eps),Apr 2003 - Apr 2003,"141,263",8.26
Blue Lock,TV (24 eps),Oct 2022 - Mar 2023,"709,679",8.25
Dororo,TV (24 eps),Jan 2019 - Jun 2019,"1,246,263",8.25
Hunter x Hunter: Greed Island Final,OVA (14 eps),Mar 2004 - Aug 2004,"147,078",8.25
Kobayashi-san Chi no Maid Dragon S,TV (12 eps),Jul 2021 - Sep 2021,"563,544",8.25
Kono Subarashii Sekai ni Shukufuku wo! 2,TV (10 eps),Jan 2017 - Mar 2017,"1,537,428",8.25
Kuroshitsuji Movie: Book of the Atlantic,Movie (1 eps),Jan 2017 - Jan 2017,"204,748",8.25
Make Heroine ga Oosugiru!,TV (12 eps),Jul 2024 -,"86,937",8.25
Mushoku Tensei II: Isekai Ittara Honki Dasu,TV (12 eps),Jul 2023 - Sep 2023,"582,931",8.25
Planetes,TV (26 eps),Oct 2003 - Apr 2004,"257,179",8.25
Spy x Family Part 2,TV (13 eps),Oct 2022 - Dec 2022,"947,336",8.25
Stranger: Mukou Hadan,Movie (1 eps),Sep 2007 - Sep 2007,"336,574",8.25
Tonari no Totoro,Movie (1 eps),Apr 1988 - Apr 1988,"1,079,666",8.25
World Trigger 3rd Season,TV (14 eps),Oct 2021 - Jan 2022,"120,212",8.25
Tanoshii Muumin Ikka,TV (78 eps),Apr 1990 - Oct 1991,"28,414",8.24
Tunshi Xingkong 4th Season,ONA (52 eps),Oct 2023 -,"2,531",8.24
Boku no Kokoro no Yabai Yatsu,TV (12 eps),Apr 2023 - Jun 2023,"315,825",8.24
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Movie (1 eps),Mar 2011 - Mar 2011,"16,977",8.24
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,TV (11 eps),Jan 2023 - Mar 2023,"221,737",8.24
Golden Kamuy 2nd Season,TV (12 eps),Oct 2018 - Dec 2018,"209,764",8.24
Gyakkyou Burai Kaiji: Hakairoku-hen,TV (26 eps),Apr 2011 - Sep 2011,"196,633",8.24
Hajime no Ippo: Mashiba vs. Kimura,OVA (1 eps),Sep 2003 - Sep 2003,"113,668",8.24
Meitantei Conan: Episode One - Chiisaku Natta Meitantei,TV Special (1 eps),Dec 2016 - Dec 2016,"31,771",8.24
Non Non Biyori Movie: Vacation,Movie (1 eps),Aug 2018 - Aug 2018,"80,065",8.24
Sennen Joyuu,Movie (1 eps),Sep 2002 - Sep 2002,"191,050",8.24
Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,TV (25 eps),Oct 2016 - Apr 2017,"146,683",8.23
Nodame Cantabile Finale,TV (11 eps),Jan 2010 - Mar 2010,"129,006",8.23
Re:Zero kara Hajimeru Isekai Seikatsu,TV (25 eps),Apr 2016 - Sep 2016,"2,222,925",8.23
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV (13 eps),Oct 2018 - Dec 2018,"1,764,388",8.23
Wu Liuqi: Zui Qiang Fa Xing Shi,ONA (10 eps),Oct 2019 - Jan 2020,"78,001",8.23
Youjo Senki Movie,Movie (1 eps),Feb 2019 - Feb 2019,"287,600",8.23
Yubisaki to Renren,TV (12 eps),Jan 2024 - Mar 2024,"233,383",8.23
Bakemono no Ko,Movie (1 eps),Jul 2015 - Jul 2015,"429,284",8.23
Danshi Koukousei no Nichijou,TV (12 eps),Jan 2012 - Mar 2012,"833,233",8.23
Haikyuu!! Movie 4: Concept no Tatakai,Movie (1 eps),Sep 2017 - Sep 2017,"89,935",8.23
IDOLiSH7 Third Beat!,TV (13 eps),Jul 2021 - Sep 2021,"23,433",8.23
Doupo Cangqiong 4th Season,ONA (24 eps),Mar 2021 - Aug 2021,"7,612",8.22
Kamisama Hajimemashita◎,TV (12 eps),Jan 2015 - Mar 2015,"420,100",8.22
Kimetsu no Yaiba: Katanakaji no Sato-hen,TV (11 eps),Apr 2023 - Jun 2023,"869,110",8.22
Kono Sekai no Katasumi ni,Movie (1 eps),Nov 2016 - Nov 2016,"191,562",8.22
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Movie (1 eps),Oct 2012 - Oct 2012,"202,674",8.22
Majo no Takkyuubin,Movie (1 eps),Jul 1989 - Jul 1989,"599,518",8.22
Major S3,TV (26 eps),Jan 2007 - Jun 2007,"70,113",8.22
Mimi wo Sumaseba,Movie (1 eps),Jul 1995 - Jul 1995,"370,980",8.22
Ookami to Koushinryou,TV (13 eps),Jan 2008 - Mar 2008,"827,571",8.22
Shoujo Shuumatsu Ryokou,TV (12 eps),Oct 2017 - Dec 2017,"351,723",8.22
Trigun,TV (26 eps),Apr 1998 - Sep 1998,"772,713",8.22
Shen Yin Wangzuo 2nd Season,ONA (130 eps),Nov 2022 -,"4,408",8.21
Shoujo Kakumei Utena,TV (39 eps),Apr 1997 - Dec 1997,"224,772",8.21
SKET Dance,TV (77 eps),Apr 2011 - Sep 2012,"227,055",8.21
Tengoku Daimakyou,TV (13 eps),Apr 2023 - Jun 2023,"496,000",8.21
xxxHOLiC◆Kei,TV (13 eps),Apr 2008 - Jun 2008,"145,743",8.21
BanG Dream! It&#039;s MyGO!!!!!,TV (13 eps),Jun 2023 - Sep 2023,"21,461",8.21
Bungou Stray Dogs 3rd Season,TV (12 eps),Apr 2019 - Jun 2019,"646,241",8.21
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie (1 eps),Jul 2000 - Jul 2000,"117,257",8.21
Fruits Basket 1st Season,TV (25 eps),Apr 2019 - Sep 2019,"849,235",8.21
Great Pretender,TV (23 eps),Jul 2020 - Dec 2020,"675,959",8.21
Kaguya-hime no Monogatari,Movie (1 eps),Nov 2013 - Nov 2013,"236,773",8.21
Kuroko no Basket 2nd Season,TV (25 eps),Oct 2013 - Mar 2014,"866,024",8.21
Liz to Aoi Tori,Movie (1 eps),Apr 2018 - Apr 2018,"145,014",8.21
Magi: The Kingdom of Magic,TV (25 eps),Oct 2013 - Mar 2014,"850,461",8.21
Major S1,TV (26 eps),Nov 2004 - May 2005,"102,621",8.21
Quanzhi Gaoshou Specials,ONA (3 eps),Apr 2018 - May 2018,"106,777",8.21
Sasaki to Miyano,TV (12 eps),Jan 2022 - Mar 2022,"201,663",8.21
Meitantei Conan Movie 13: Shikkoku no Chaser,Movie (1 eps),Apr 2009 - Apr 2009,"60,824",8.20
One Piece Movie 14: Stampede,Movie (1 eps),Aug 2019 - Aug 2019,"195,820",8.20
ReLIFE: Kanketsu-hen,Special (4 eps),Mar 2018 - Mar 2018,"402,850",8.20
Saiki Kusuo no Ψ-nan: Kanketsu-hen,TV Special (1 eps),Dec 2018 - Dec 2018,"224,066",8.20
Vanitas no Karte Part 2,TV (12 eps),Jan 2022 - Apr 2022,"286,828",8.20
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV (13 eps),Apr 2015 - Jun 2015,"1,076,517",8.20
Berserk: Ougon Jidai-hen III - Kourin,Movie (1 eps),Feb 2013 - Feb 2013,"229,169",8.20
Fate/strange Fake: Whispers of Dawn,TV Special (1 eps),Jul 2023 - Jul 2023,"79,428",8.20
Horimiya,TV (13 eps),Jan 2021 - Apr 2021,"1,413,669",8.20
InuYasha: Kanketsu-hen,TV (26 eps),Oct 2009 - Mar 2010,"287,294",8.20
Asobi Asobase,TV (12 eps),Jul 2018 - Sep 2018,"488,037",8.19
Hachimitsu to Clover II,TV (12 eps),Jun 2006 - Sep 2006,"107,862",8.19
Maison Ikkoku,TV (96 eps),Mar 1986 - Mar 1988,"74,698",8.19
Mo Dao Zu Shi Q,ONA (30 eps),Jul 2020 - Jan 2021,"24,900",8.19
Nomad: Megalo Box 2,TV (13 eps),Apr 2021 - Jun 2021,"203,486",8.19
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,TV Special (1 eps),Aug 2013 - Aug 2013,"63,462",8.19
Senki Zesshou Symphogear XV,TV (13 eps),Jul 2019 - Sep 2019,"40,173",8.19
xxxHOLiC Rou,OVA (2 eps),Apr 2010 - Mar 2011,"70,533",8.19
Sono Bisque Doll wa Koi wo Suru,TV (12 eps),Jan 2022 - Mar 2022,"1,087,968",8.18
Spy x Family Movie: Code: White,Movie (1 eps),Dec 2023 - Dec 2023,"135,349",8.18
Stand By Me Doraemon 2,Movie (1 eps),Nov 2020 - Nov 2020,"25,353",8.18
Yojouhan Time Machine Blues,ONA (6 eps),Sep 2022 - Oct 2022,"43,792",8.18
Yoru wa Mijikashi Arukeyo Otome,Movie (1 eps),Apr 2017 - Apr 2017,"128,831",8.18
Ao Ashi,TV (24 eps),Apr 2022 - Sep 2022,"216,629",8.18
Bakuman.,TV (25 eps),Oct 2010 - Apr 2011,"626,776",8.18
Ballroom e Youkoso,TV (24 eps),Jul 2017 - Dec 2017,"339,707",8.18
Bungou Stray Dogs 2nd Season,TV (12 eps),Oct 2016 - Dec 2016,"871,596",8.18
Chihayafuru,TV (25 eps),Oct 2011 - Mar 2012,"466,892",8.18
Dragon Ball Super: Broly,Movie (1 eps),Dec 2018 - Dec 2018,"412,992",8.18
Dragon Ball Z,TV (291 eps),Apr 1989 - Jan 1996,"1,240,275",8.18
Fate/stay night: Unlimited Blade Works,TV (12 eps),Oct 2014 - Dec 2014,"1,082,540",8.18
Girls &amp; Panzer Movie,Movie (1 eps),Nov 2015 - Nov 2015,"108,230",8.18
Horimiya: Piece,TV (13 eps),Jul 2023 - Sep 2023,"335,701",8.18
Hunter x Hunter: Greed Island,OVA (8 eps),Feb 2003 - Apr 2003,"158,822",8.18
Initial D Second Stage,TV (13 eps),Oct 1999 - Jan 2000,"224,820",8.18
Kimetsu no Yaiba: Hashira Geiko-hen,TV (8 eps),May 2024 - Jun 2024,"465,929",8.18
Kotarou wa Hitorigurashi,ONA (10 eps),Mar 2022 - Mar 2022,"159,286",8.18
Little Busters! Refrain,TV (13 eps),Oct 2013 - Dec 2013,"168,069",8.18
Major S2,TV (26 eps),Dec 2005 - Jun 2006,"72,759",8.18
Major S4,TV (26 eps),Jan 2008 - Jun 2008,"66,266",8.18
Meitantei Conan Movie 20: Junkoku no Nightmare,Movie (1 eps),Apr 2016 - Apr 2016,"42,783",8.18
No Game No Life: Zero,Movie (1 eps),Jul 2017 - Jul 2017,"880,198",8.18
Non Non Biyori Repeat,TV (12 eps),Jul 2015 - Sep 2015,"202,807",8.18
K-On!!,TV (26 eps),Apr 2010 - Sep 2010,"704,223",8.17
Made in Abyss Movie 1: Tabidachi no Yoake,Movie (1 eps),Jan 2019 - Jan 2019,"132,851",8.17
Meitantei Conan,TV (? eps),Jan 1996 -,"352,799",8.17
Yuukoku no Moriarty,TV (11 eps),Oct 2020 - Dec 2020,"438,230",8.17
Black Lagoon: The Second Barrage,TV (12 eps),Oct 2006 - Dec 2006,"525,416",8.17
Cardcaptor Sakura,TV (70 eps),Apr 1998 - Mar 2000,"443,590",8.17
Digimon Adventure: Last Evolution Kizuna,Movie (1 eps),Feb 2020 - Feb 2020,"45,546",8.17
Girls &amp; Panzer: Saishuushou Part 3,Movie (1 eps),Mar 2021 - Mar 2021,"28,737",8.17
Haikyuu!! Movie 3: Sainou to Sense,Movie (1 eps),Sep 2017 - Sep 2017,"93,111",8.17
Higurashi no Naku Koro ni Kai,TV (24 eps),Jul 2007 - Dec 2007,"484,135",8.17
Holo no Graffiti,ONA (? eps),May 2019 -,"55,902",8.17
Initial D Fourth Stage,TV (24 eps),Apr 2004 - Feb 2006,"191,984",8.17
Akira,Movie (1 eps),Jul 1988 - Jul 1988,"865,400",8.16
Aria the Natural,TV (26 eps),Apr 2006 - Sep 2006,"80,381",8.16
Dr. Stone: Ryuusui,TV Special (1 eps),Jul 2022 - Jul 2022,"302,178",8.16
Dr. Stone: Stone Wars,TV (11 eps),Jan 2021 - Mar 2021,"1,059,243",8.16
Fate/stay night Movie: Heaven&#039;s Feel - I. Presage Flower,Movie (1 eps),Oct 2017 - Oct 2017,"461,787",8.16
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,Movie (4 eps),Oct 2019 - Oct 2019,"26,201",8.16
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA (1 eps),Dec 2016 - Dec 2016,"66,817",8.16
Lycoris Recoil,TV (13 eps),Jul 2022 - Sep 2022,"506,073",8.16
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,Movie (1 eps),Jan 2021 - Jan 2021,"36,721",8.16
Ouran Koukou Host Club,TV (26 eps),Apr 2006 - Sep 2006,"1,138,266",8.16
Shinigami Bocchan to Kuro Maid 3rd Season,TV (12 eps),Apr 2024 - Jun 2024,"46,643",8.16
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Movie (1 eps),Sep 2008 - Sep 2008,"167,922",8.16
Toaru Kagaku no Railgun T,TV (25 eps),Jan 2020 - Sep 2020,"235,290",8.16
Dr. Stone: New World,TV (11 eps),Apr 2023 - Jun 2023,"475,122",8.15
Eiga Daisuki Pompo-san,Movie (1 eps),Jun 2021 - Jun 2021,"50,052",8.15
Lupin III: Cagliostro no Shiro,Movie (1 eps),Dec 1979 - Dec 1979,"118,599",8.15
Noragami Aragoto,TV (13 eps),Oct 2015 - Dec 2015,"1,469,503",8.15
Kaiba,TV (12 eps),Apr 2008 - Jul 2008,"154,616",8.14
Kyoukai no Kanata Movie 2: I&#039;ll Be Here - Mirai-hen,Movie (1 eps),Apr 2015 - Apr 2015,"264,634",8.14
Major: Message,OVA (1 eps),Dec 2010 - Dec 2010,"31,183",8.14
Non Non Biyori Nonstop: Bukatsu wo Ganbatta,OVA (1 eps),Mar 2022 - Mar 2022,"22,323",8.14
Shokugeki no Souma,TV (24 eps),Apr 2015 - Sep 2015,"1,658,484",8.14
Tensei shitara Slime Datta Ken,TV (24 eps),Oct 2018 - Mar 2019,"1,472,977",8.14
Working!!! Lord of the Takanashi,Special (1 eps),Mar 2016 - Mar 2016,"103,681",8.14
Wu Liuqi: Anying Suming,ONA (10 eps),Jan 2023 - Mar 2023,"23,773",8.14
Yi Nian Yong Heng: Chuan Cheng Pian,ONA (54 eps),Jul 2022 - Jul 2023,"6,490",8.14
Black Clover,TV (170 eps),Oct 2017 - Mar 2021,"1,697,909",8.14
Cang Yuan Tu,ONA (26 eps),Jun 2023 - Dec 2023,"2,285",8.14
Death Parade,TV (12 eps),Jan 2015 - Mar 2015,"1,791,349",8.14
Given: Uragawa no Sonzai,OVA (1 eps),Dec 2021 - Dec 2021,"90,279",8.14
IDOLiSH7 Second Beat!,TV (15 eps),Apr 2020 - Dec 2020,"32,360",8.14
Eizouken ni wa Te wo Dasu na!,TV (12 eps),Jan 2020 - Mar 2020,"340,737",8.13
Ginga Eiyuu Densetsu Gaiden,OVA (24 eps),Feb 1998 - Sep 1998,"24,633",8.13
Given Movie 1,Movie (1 eps),Aug 2020 - Aug 2020,"241,158",8.13
Hinamatsuri,TV (12 eps),Apr 2018 - Jun 2018,"518,798",8.13
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,Movie (1 eps),Dec 2003 - Dec 2003,"74,989",8.13
Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,TV (13 eps),Apr 2019 - Aug 2019,"23,736",8.13
Lupin III: Part 5,TV (24 eps),Apr 2018 - Sep 2018,"45,019",8.13
Nisemonogatari,TV (11 eps),Jan 2012 - Mar 2012,"737,930",8.13
Nodame Cantabile: Paris-hen,TV (11 eps),Oct 2008 - Dec 2008,"125,885",8.13
Paripi Koumei,TV (12 eps),Apr 2022 - Jun 2022,"299,928",8.13
Princess Tutu,TV (38 eps),Aug 2002 - May 2003,"171,812",8.13
Seirei no Moribito,TV (26 eps),Apr 2007 - Sep 2007,"220,814",8.13
JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA (12 eps),Dec 2021 - Dec 2021,"517,022",8.12
Katekyou Hitman Reborn!,TV (203 eps),Oct 2006 - Sep 2010,"561,318",8.12
Kaze Tachinu,Movie (1 eps),Jul 2013 - Jul 2013,"346,151",8.12
One Piece Film: Z,Movie (1 eps),Dec 2012 - Dec 2012,"288,603",8.12
Buddy Daddies,TV (12 eps),Jan 2023 - Apr 2023,"285,029",8.12
Gankutsuou,TV (24 eps),Oct 2004 - Mar 2005,"252,815",8.12
Gintama&#039;: Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,Special (1 eps),Apr 2015 - Apr 2015,"41,876",8.12
Skip to Loafer,TV (12 eps),Apr 2023 - Jun 2023,"274,684",8.12
Kamisama Hajimemashita,TV (13 eps),Oct 2012 - Dec 2012,"666,462",8.11
Kidou Senshi Gundam 00,TV (25 eps),Oct 2007 - Mar 2008,"222,192",8.11
Kuragehime,TV (11 eps),Oct 2010 - Dec 2010,"242,833",8.11
Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,Movie (1 eps),Jul 2012 - Jul 2012,"24,559",8.11
Meitantei Conan Movie 05: Tengoku e no Countdown,Movie (1 eps),Apr 2001 - Apr 2001,"64,864",8.11
Meitantei Conan Movie 14: Tenkuu no Lost Ship,Movie (1 eps),Apr 2010 - Apr 2010,"58,170",8.11
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,TV Special (1 eps),Aug 2012 - Aug 2012,"71,183",8.11
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,ONA (6 eps),Dec 2019 - Dec 2019,"226,150",8.11
Diamond no Ace,TV (75 eps),Oct 2013 - Mar 2015,"248,623",8.11
Fullmetal Alchemist,TV (51 eps),Oct 2003 - Oct 2004,"1,482,825",8.11
Golden Kamuy 4th Season,TV (13 eps),Oct 2022 - Jun 2023,"99,075",8.11
Initial D Fifth Stage,TV (14 eps),Nov 2012 - May 2013,"153,350",8.11
Akatsuki no Yona OVA,OVA (3 eps),Sep 2015 - Dec 2016,"136,897",8.10
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Movie (1 eps),Jan 2018 - Jan 2018,"276,209",8.10
Detroit Metal City,OVA (12 eps),Aug 2008 - Oct 2008,"214,458",8.10
Durarara!!,TV (24 eps),Jan 2010 - Jun 2010,"1,418,039",8.10
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,Special (1 eps),Nov 2015 - Nov 2015,"34,953",8.10
Jigokuraku,TV (13 eps),Apr 2023 - Jul 2023,"709,594",8.10
Shen Yin Wangzuo,ONA (26 eps),Apr 2022 - Sep 2022,"7,270",8.10
Stand By Me Doraemon,Movie (1 eps),Aug 2014 - Aug 2014,"56,396",8.10
Tamayura: Sotsugyou Shashin Part 4 - Ashita,Movie (1 eps),Apr 2016 - Apr 2016,"11,908",8.10
