ime,zvrst in število epizod,čas nastajanja,število uporabnikov,ocena
Toki wo Kakeru Shoujo,Movie (1 eps),Jul 2006 - Jul 2006,"798,569",8.10
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,TV (13 eps),Jul 2022 - Sep 2022,"660,454",8.10
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV (24 eps),Apr 2014 - Sep 2014,"1,237,284",8.10
Kono Subarashii Sekai ni Shukufuku wo!,TV (10 eps),Jan 2016 - Mar 2016,"1,991,032",8.10
Koukaku Kidoutai: Stand Alone Complex - Solid State Society,TV Special (1 eps),Sep 2006 - Sep 2006,"101,589",8.10
Kuroko no Basket: Saikou no Present desu,Special (1 eps),Dec 2015 - Dec 2015,"109,200",8.10
Mahoutsukai no Yome: Hoshi Matsu Hito,OVA (3 eps),Sep 2016 - Sep 2017,"285,451",8.10
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA (13 eps),Feb 2011 - Jul 2011,"76,582",8.10
Kidou Senshi Gundam Unicorn,OVA (7 eps),Mar 2010 - Jun 2014,"100,468",8.09
Precure All Stars Movie F,Movie (1 eps),Sep 2023 - Sep 2023,"3,014",8.09
Serial Experiments Lain,TV (13 eps),Jul 1998 - Sep 1998,"794,056",8.09
Gin no Saji,TV (11 eps),Jul 2013 - Sep 2013,"296,927",8.09
Gridman Universe,Movie (1 eps),Mar 2023 - Mar 2023,"29,914",8.09
Hajime no Ippo: Boxer no Kobushi,Special (1 eps),Mar 2003 - Mar 2003,"57,269",8.09
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,TV (12 eps),Apr 2020 - Jun 2020,"217,543",8.09
Tsubasa: Shunraiki,OVA (2 eps),Mar 2009 - May 2009,"62,916",8.09
Tsukimonogatari,TV Special (4 eps),Dec 2014 - Dec 2014,"422,076",8.09
Tsurune: Tsunagari no Issha,TV (13 eps),Jan 2023 - Mar 2023,"57,328",8.09
Zankyou no Terror,TV (11 eps),Jul 2014 - Sep 2014,"1,183,559",8.09
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,TV (12 eps),Jul 2024 -,"224,991",8.08
Uchouten Kazoku 2,TV (12 eps),Apr 2017 - Jun 2017,"65,458",8.08
Kuroko no Basket Movie 4: Last Game,Movie (1 eps),Mar 2017 - Mar 2017,"313,019",8.08
Mirai Shounen Conan,TV (26 eps),Apr 1978 - Oct 1978,"51,956",8.08
Overlord IV,TV (13 eps),Jul 2022 - Sep 2022,"540,346",8.08
Quanzhi Gaoshou: Dianfeng Rongyao,Movie (1 eps),Aug 2019 - Aug 2019,"51,512",8.08
Ansatsu Kyoushitsu,TV (22 eps),Jan 2015 - Jun 2015,"2,044,878",8.08
Baccano! Specials,Special (3 eps),Feb 2008 - May 2008,"180,328",8.08
Boku no Hero Academia 2nd Season,TV (25 eps),Apr 2017 - Sep 2017,"2,549,923",8.08
Fairy Tail: 100-nen Quest,TV (? eps),Jul 2024 -,"121,343",8.08
Fumetsu no Anata e Season 2,TV (20 eps),Oct 2022 - Mar 2023,"283,496",8.08
Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,Movie (1 eps),Dec 1993 - Dec 1993,"35,451",8.08
Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,Special (1 eps),Sep 2005 - Sep 2005,"57,087",8.08
Hidamari Sketch: Sae Hiro Sotsugyou-hen,OVA (2 eps),Nov 2013 - Nov 2013,"14,645",8.08
City Hunter 2,TV (63 eps),Apr 1988 - Jul 1989,"27,800",8.07
Girls &amp; Panzer: Saishuushou Part 2,Movie (1 eps),Jun 2019 - Jun 2019,"38,211",8.07
Haikyuu!! Movie 2: Shousha to Haisha,Movie (1 eps),Sep 2015 - Sep 2015,"97,681",8.07
Hikaru no Go,TV (75 eps),Oct 2001 - Mar 2003,"140,402",8.07
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,TV (10 eps),Apr 2022 - Jun 2022,"160,626",8.07
Shokugeki no Souma: Ni no Sara,TV (13 eps),Jul 2016 - Sep 2016,"1,147,231",8.07
Skip Beat!,TV (25 eps),Oct 2008 - Mar 2009,"272,574",8.07
Spy x Family Season 2,TV (12 eps),Oct 2023 - Dec 2023,"504,036",8.07
Yuanshen: Jinzhong Ge,ONA (1 eps),Apr 2024 - Apr 2024,"3,969",8.07
Yuusha-Ou GaoGaiGar Final,OVA (8 eps),Jan 2000 - Mar 2003,"10,955",8.07
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,ONA (12 eps),Sep 2022 - Sep 2022,"268,918",8.07
Kanata no Astra,TV (12 eps),Jul 2019 - Sep 2019,"311,095",8.07
Kidou Senshi Gundam 00 Second Season,TV (25 eps),Oct 2008 - Mar 2009,"153,226",8.07
Kimi wa Houkago Insomnia,TV (13 eps),Apr 2023 - Jul 2023,"217,633",8.07
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,OVA (1 eps),Sep 2005 - Sep 2005,"41,194",8.07
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",TV (25 eps),Oct 2023 - Mar 2024,"286,156",8.07
Kamisama Hajimemashita OVA,OVA (2 eps),Aug 2013 - Aug 2013,"135,183",8.06
Kuroshitsuji: Book of Circus,TV (10 eps),Jul 2014 - Sep 2014,"413,254",8.06
Kyou kara Ore wa!!,OVA (10 eps),Apr 1993 - Dec 1997,"35,447",8.06
Mahoutsukai no Yome,TV (24 eps),Oct 2017 - Mar 2018,"942,037",8.06
Meitantei Conan Movie 08: Ginyoku no Magician,Movie (1 eps),Apr 2004 - Apr 2004,"57,872",8.06
Meitantei Conan Movie 18: Ijigen no Sniper,Movie (1 eps),Apr 2014 - Apr 2014,"44,431",8.06
No Game No Life,TV (12 eps),Apr 2014 - Jun 2014,"2,418,656",8.06
One Piece Film: Strong World,Movie (1 eps),Dec 2009 - Dec 2009,"258,654",8.06
Sakura-sou no Pet na Kanojo,TV (24 eps),Oct 2012 - Mar 2013,"1,257,470",8.06
Ginga Eiyuu Densetsu Gaiden (1999),OVA (28 eps),Dec 1999 - Jul 2000,"20,687",8.06
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,Movie (4 eps),Sep 2019 - Sep 2019,"30,217",8.06
Gintama: Dai Hanseikai,Special (1 eps),Mar 2010 - Mar 2010,"38,735",8.06
Hyouka,TV (22 eps),Apr 2012 - Sep 2012,"1,388,278",8.06
Toradora!,TV (25 eps),Oct 2008 - Mar 2009,"2,227,006",8.06
Uma Musume: Pretty Derby Season 2,TV (13 eps),Jan 2021 - Mar 2021,"53,304",8.06
Tunshi Xingkong,ONA (26 eps),Nov 2020 - May 2021,"8,268",8.05
World Trigger 2nd Season,TV (12 eps),Jan 2021 - Apr 2021,"154,342",8.05
Yowamushi Pedal: Grande Road,TV (24 eps),Oct 2014 - Mar 2015,"141,769",8.05
Kidou Senshi Gundam: Tekketsu no Orphans,TV (25 eps),Oct 2015 - Mar 2016,"247,668",8.05
Kodomo no Omocha (TV),TV (102 eps),Apr 1996 - Mar 1998,"70,434",8.05
Koukyoushihen Eureka Seven,TV (50 eps),Apr 2005 - Apr 2006,"439,054",8.05
Kuroko no Basket,TV (25 eps),Apr 2012 - Sep 2012,"1,219,811",8.05
Kuroshitsuji: Book of Murder,OVA (2 eps),Jan 2015 - Feb 2015,"253,208",8.05
Meitantei Conan Movie 25: Halloween no Hanayome,Movie (1 eps),Apr 2022 - Apr 2022,"16,214",8.05
Saint Seiya: Meiou Hades Juuni Kyuu-hen,OVA (13 eps),Nov 2002 - Jul 2003,"58,304",8.05
Angel Beats!,TV (13 eps),Apr 2010 - Jun 2010,"2,091,325",8.05
Darker than Black: Kuro no Keiyakusha,TV (25 eps),Apr 2007 - Sep 2007,"954,531",8.05
Dorohedoro,TV (12 eps),Jan 2020 - Mar 2020,"559,781",8.05
Douluo Dalu II: Jueshi Tangmen,ONA (104 eps),Jun 2023 -,"3,520",8.05
Durarara!!x2 Ketsu,TV (12 eps),Jan 2016 - Mar 2016,"382,675",8.05
5-toubun no Hanayome ∬,TV (12 eps),Jan 2021 - Mar 2021,"727,658",8.04
Fate/stay night: Unlimited Blade Works Prologue,TV Special (1 eps),Oct 2014 - Oct 2014,"324,548",8.04
Golden Boy,OVA (6 eps),Oct 1995 - Jun 1996,"407,458",8.04
Gosick,TV (24 eps),Jan 2011 - Jul 2011,"558,183",8.04
Haikyuu!! Movie 1: Owari to Hajimari,Movie (1 eps),Jul 2015 - Jul 2015,"106,259",8.04
Shijou Saikyou no Deshi Kenichi,TV (50 eps),Oct 2006 - Sep 2007,"305,965",8.04
Tsuki ga Kirei,TV (12 eps),Apr 2017 - Jun 2017,"550,712",8.04
Karakai Jouzu no Takagi-san 2,TV (12 eps),Jul 2019 - Sep 2019,"337,082",8.04
Omoide no Marnie,Movie (1 eps),Jul 2014 - Jul 2014,"305,617",8.04
Paprika,Movie (1 eps),Nov 2006 - Nov 2006,"552,980",8.04
Persona 3 the Movie 4: Winter of Rebirth,Movie (1 eps),Jan 2016 - Jan 2016,"76,420",8.04
Kill la Kill,TV (24 eps),Oct 2013 - Mar 2014,"1,740,126",8.03
Lovely★Complex,TV (24 eps),Apr 2007 - Sep 2007,"599,688",8.03
Mairimashita! Iruma-kun 2nd Season,TV (21 eps),Apr 2021 - Sep 2021,"326,555",8.03
Meitantei Conan Movie 03: Seikimatsu no Majutsushi,Movie (1 eps),Apr 1999 - Apr 1999,"67,404",8.03
Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha,Movie (1 eps),Apr 2000 - Apr 2000,"63,682",8.03
Meitantei Conan Movie 10: Tantei-tachi no Requiem,Movie (1 eps),Apr 2006 - Apr 2006,"57,299",8.03
Mignon,ONA (12 eps),Aug 2023 - Aug 2023,"24,028",8.03
Ookami to Koushinryou: Merchant Meets the Wise Wolf,TV (25 eps),Apr 2024 -,"182,344",8.03
Akatsuki no Yona,TV (24 eps),Oct 2014 - Mar 2015,"865,827",8.03
Azumanga Daiou The Animation,TV (26 eps),Apr 2002 - Oct 2002,"371,975",8.03
BanG Dream! Movie: Episode of Roselia - II: Song I Am.,Movie (1 eps),Jun 2021 - Jun 2021,"9,626",8.03
Black Lagoon,TV (12 eps),Apr 2006 - Jun 2006,"1,022,602",8.03
Dennou Coil,TV (26 eps),May 2007 - Dec 2007,"149,168",8.03
FLCL,OVA (6 eps),Apr 2000 - Mar 2001,"834,031",8.03
Glass no Kamen (2005),TV (51 eps),Apr 2005 - Mar 2006,"40,770",8.03
Tonikaku Kawaii: SNS,OVA (1 eps),Aug 2021 - Aug 2021,"158,985",8.03
xxxHOLiC Shunmuki,OVA (2 eps),Feb 2009 - Jun 2009,"71,686",8.03
Yuru Camp△ Season 3,TV (12 eps),Apr 2024 - Jun 2024,"79,174",8.03
Summer Wars,Movie (1 eps),Aug 2009 - Aug 2009,"524,578",8.02
Wan Sheng Jie 2,ONA (12 eps),Oct 2020 - Dec 2020,"13,093",8.02
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA (1 eps),Oct 2016 - Oct 2016,"254,256",8.02
"Komi-san wa, Comyushou desu. 2nd Season",TV (12 eps),Apr 2022 - Jun 2022,"491,641",8.02
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,OVA (1 eps),Jul 2017 - Jul 2017,"378,785",8.02
Black Lagoon: Roberta&#039;s Blood Trail,OVA (5 eps),Jun 2010 - Jun 2011,"304,450",8.02
Full Metal Panic? Fumoffu,TV (12 eps),Aug 2003 - Nov 2003,"299,102",8.02
Ginga Nagareboshi Gin,TV (21 eps),Apr 1986 - Aug 1986,"27,894",8.02
Baby Steps 2nd Season,TV (25 eps),Apr 2015 - Sep 2015,"91,757",8.01
BanG Dream! 3rd Season,TV (13 eps),Jan 2020 - Apr 2020,"38,048",8.01
Black Clover: Mahou Tei no Ken,Movie (1 eps),Jun 2023 - Jun 2023,"224,693",8.01
Boku no Hero Academia 3rd Season,TV (25 eps),Apr 2018 - Sep 2018,"2,213,277",8.01
D.Gray-man,TV (103 eps),Oct 2006 - Sep 2008,"697,969",8.01
Hibike! Euphonium,TV (13 eps),Apr 2015 - Jul 2015,"471,296",8.01
SK∞,TV (12 eps),Jan 2021 - Apr 2021,"568,926",8.01
Slayers Next,TV (26 eps),Apr 1996 - Sep 1996,"71,747",8.01
Toaru Kagaku no Railgun S,TV (24 eps),Apr 2013 - Sep 2013,"392,770",8.01
Wan Sheng Jie 3,ONA (12 eps),Jan 2022 - Apr 2022,"8,542",8.01
Juuni Kokuki,TV (45 eps),Apr 2002 - Aug 2003,"155,462",8.01
Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,Movie (1 eps),Feb 2008 - Feb 2008,"231,281",8.01
Kimi ni Todoke,TV (25 eps),Oct 2009 - Mar 2010,"967,211",8.01
Magi: The Labyrinth of Magic,TV (25 eps),Oct 2012 - Mar 2013,"1,054,966",8.01
Omae Umasou da na,Movie (1 eps),Oct 2010 - Oct 2010,"20,734",8.01
Pui Pui Molcar,TV (12 eps),Jan 2021 - Mar 2021,"17,194",8.01
Saiunkoku Monogatari 2nd Season,TV (39 eps),Apr 2007 - Mar 2008,"42,021",8.01
Shadows House 2nd Season,TV (12 eps),Jul 2022 - Sep 2022,"122,885",8.01
Kaichou wa Maid-sama!,TV (26 eps),Apr 2010 - Sep 2010,"1,262,501",8.00
Kidou Senshi Gundam: Dai 08 MS Shoutai,OVA (12 eps),Jan 1996 - Jul 1999,"85,790",8.00
Meitantei Conan Movie 15: Chinmoku no Quarter,Movie (1 eps),Apr 2011 - Apr 2011,"49,651",8.00
Naruto,TV (220 eps),Oct 2002 - Feb 2007,"2,886,888",8.00
Evangelion Movie 1: Jo,Movie (1 eps),Sep 2007 - Sep 2007,"572,487",8.00
Fullmetal Alchemist: Brotherhood Specials,Special (4 eps),Aug 2009 - Aug 2010,"160,687",8.00
Tokyo Magnitude 8.0,TV (11 eps),Jul 2009 - Sep 2009,"300,196",8.00
Tsumiki no Ie,Movie (1 eps),Jun 2008 - Jun 2008,"97,592",8.00
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV (13 eps),Apr 2013 - Jun 2013,"1,451,279",8.00
Zombieland Saga Revenge,TV (12 eps),Apr 2021 - Jun 2021,"219,448",8.00
Shokugeki no Souma: San no Sara,TV (12 eps),Oct 2017 - Dec 2017,"984,528",7.99
Wolf&#039;s Rain OVA,OVA (4 eps),Jan 2004 - Feb 2004,"69,533",7.99
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,Movie (1 eps),Jul 2017 - Jul 2017,"15,271",7.99
Kami nomi zo Shiru Sekai: Megami-hen,TV (12 eps),Jul 2013 - Sep 2013,"349,919",7.99
Kara no Kyoukai Movie: Mirai Fukuin,Movie (1 eps),Sep 2013 - Sep 2013,"117,823",7.99
Kidou Keisatsu Patlabor 2 the Movie,Movie (1 eps),Aug 1993 - Aug 1993,"39,244",7.99
Kimi ni Todoke 2nd Season,TV (12 eps),Jan 2011 - Mar 2011,"496,097",7.99
Romantic Killer,ONA (12 eps),Oct 2022 - Oct 2022,"224,349",7.99
Aria the OVA: Arietta,OVA (1 eps),Sep 2007 - Sep 2007,"38,761",7.99
Clannad,TV (23 eps),Oct 2007 - Mar 2008,"1,426,183",7.99
ef: A Tale of Melodies.,TV (12 eps),Oct 2008 - Dec 2008,"165,926",7.99
Eve no Jikan,ONA (6 eps),Aug 2008 - Sep 2009,"187,226",7.99
Hachimitsu to Clover,TV (24 eps),Apr 2005 - Sep 2005,"270,807",7.99
5-toubun no Hanayome∽,TV Special (2 eps),Sep 2023 - Sep 2023,"72,818",7.98
Bungou Stray Dogs Wan!,TV (12 eps),Jan 2021 - Mar 2021,"120,781",7.98
Hanada Shounen-shi,TV (25 eps),Oct 2002 - Mar 2003,"16,398",7.98
Hanma Baki: Son of Ogre 2nd Season,ONA (27 eps),Jul 2023 - Aug 2023,"86,894",7.98
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,TV (14 eps),Oct 2019 - Dec 2019,"316,567",7.98
Touch,TV (101 eps),Mar 1985 - Mar 1987,"36,586",7.98
xxxHOLiC,TV (24 eps),Apr 2006 - Sep 2006,"325,647",7.98
Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,Special (1 eps),May 2017 - May 2017,"85,771",7.98
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,OVA (6 eps),Mar 1989 - Aug 1989,"62,404",7.98
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,OVA (1 eps),Jan 2006 - Jan 2006,"30,041",7.98
Saint Seiya: The Lost Canvas - Meiou Shinwa,OVA (13 eps),Jun 2009 - Apr 2010,"109,707",7.98
School Rumble Ni Gakki,TV (26 eps),Apr 2006 - Sep 2006,"164,166",7.98
Kakushigoto,TV (12 eps),Apr 2020 - Jun 2020,"332,916",7.97
Koukaku Kidoutai 2.0,Movie (1 eps),Jul 2008 - Jul 2008,"89,428",7.97
Maoujou de Oyasumi,TV (12 eps),Oct 2020 - Dec 2020,"219,534",7.97
Akagami no Shirayuki-hime 2nd Season,TV (12 eps),Jan 2016 - Mar 2016,"364,758",7.97
Aria the Benedizione,Movie (1 eps),Dec 2021 - Dec 2021,"8,765",7.97
Code Geass: Hangyaku no Lelouch III - Oudou,Movie (1 eps),May 2018 - May 2018,"95,792",7.97
Dragon Ball,TV (153 eps),Feb 1986 - Apr 1989,"1,053,878",7.97
Durarara!!x2 Shou,TV (12 eps),Jan 2015 - Mar 2015,"488,476",7.97
Haibane Renmei,TV (13 eps),Oct 2002 - Dec 2002,"293,478",7.97
IDOLiSH7 Vibrato,ONA (8 eps),Feb 2018 - Mar 2019,"16,062",7.97
Wan Sheng Jie,ONA (12 eps),Apr 2020 - May 2020,"27,938",7.97
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,TV (13 eps),Jan 2024 - Mar 2024,"388,535",7.97
Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,Movie (1 eps),Oct 2021 - Oct 2021,"258,758",7.96
Tsue to Tsurugi no Wistoria,TV (? eps),Jul 2024 -,"114,505",7.96
Yofukashi no Uta,TV (13 eps),Jul 2022 - Sep 2022,"607,003",7.96
Youjo Senki,TV (12 eps),Jan 2017 - Mar 2017,"936,207",7.96
Niehime to Kemono no Ou,TV (24 eps),Apr 2023 - Sep 2023,"76,991",7.96
Ookiku Furikabutte: Natsu no Taikai-hen,TV (13 eps),Apr 2010 - Jun 2010,"45,435",7.96
ReLIFE,TV (13 eps),Jul 2016 - Sep 2016,"1,051,189",7.96
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,OVA (2 eps),Dec 2001 - Mar 2002,"85,384",7.96
Durarara!!x2 Ten,TV (12 eps),Jul 2015 - Sep 2015,"399,836",7.96
Eve no Jikan (Movie),Movie (1 eps),Mar 2010 - Mar 2010,"125,856",7.96
High Score Girl: Extra Stage,OVA (3 eps),Mar 2019 - Mar 2019,"75,852",7.96
Hokuto no Ken,TV (109 eps),Oct 1984 - Mar 1987,"133,409",7.96
Hyouge Mono,TV (39 eps),Apr 2011 - Jan 2012,"29,185",7.96
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,Special (1 eps),Jun 2008 - Jun 2008,"22,021",7.95
Atarashii Joushi wa Do Tennen,TV (12 eps),Oct 2023 - Dec 2023,"55,935",7.95
Bishoujo Senshi Sailor Moon: Sailor Stars,TV (34 eps),Mar 1996 - Feb 1997,"115,295",7.95
Bleach,TV (366 eps),Oct 2004 - Mar 2012,"1,995,662",7.95
Boku no Hero Academia the Movie 2: Heroes:Rising,Movie (1 eps),Dec 2019 - Dec 2019,"580,270",7.95
Girls &amp; Panzer: Saishuushou Part 1,Movie (1 eps),Dec 2017 - Dec 2017,"50,572",7.95
High Score Girl II,TV (9 eps),Oct 2019 - Dec 2019,"139,756",7.95
Tate no Yuusha no Nariagari,TV (25 eps),Jan 2019 - Jun 2019,"1,613,468",7.95
Tennis no Oujisama: Zenkoku Taikai-hen - Final,OVA (7 eps),Apr 2008 - Jan 2009,"36,909",7.95
Working!!!,TV (13 eps),Jul 2015 - Sep 2015,"251,109",7.95
Kurenai no Buta,Movie (1 eps),Jul 1992 - Jul 1992,"257,020",7.95
Mahou Shoujo Lyrical Nanoha A&#039;s,TV (13 eps),Oct 2005 - Dec 2005,"66,183",7.95
Major Movie: Yuujou no Winning Shot,Movie (1 eps),Dec 2008 - Dec 2008,"21,104",7.95
Nagi no Asu kara,TV (26 eps),Oct 2013 - Apr 2014,"607,431",7.95
Nige Jouzu no Wakagimi,TV (12 eps),Jul 2024 -,"77,931",7.95
Kanon (2006),TV (24 eps),Oct 2006 - Mar 2007,"274,259",7.94
Kidou Senshi Gundam Thunderbolt,ONA (4 eps),Dec 2015 - Apr 2016,"57,957",7.94
Kidou Senshi Gundam Thunderbolt: December Sky,Movie (1 eps),Jun 2016 - Jun 2016,"24,933",7.94
Kobato.,TV (24 eps),Oct 2009 - Mar 2010,"168,923",7.94
Macross F Movie 2: Sayonara no Tsubasa,Movie (1 eps),Feb 2011 - Feb 2011,"28,094",7.94
Non Non Biyori,TV (12 eps),Oct 2013 - Dec 2013,"431,300",7.94
Noragami,TV (12 eps),Jan 2014 - Mar 2014,"2,184,083",7.94
Sakasama no Patema,Movie (1 eps),Nov 2013 - Nov 2013,"293,952",7.94
Fate/Grand Order: Zettai Majuu Sensen Babylonia,TV (21 eps),Oct 2019 - Mar 2020,"286,190",7.94
Gake no Ue no Ponyo,Movie (1 eps),Jul 2008 - Jul 2008,"592,909",7.94
Hikaru no Go: Hokuto Hai e no Michi,Special (1 eps),Jan 2004 - Jan 2004,"24,270",7.94
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,TV (12 eps),Apr 2018 - Jun 2018,"729,552",7.94
Tekkon Kinkreet,Movie (1 eps),Dec 2006 - Dec 2006,"113,792",7.94
Vampire Hunter D (2000),Movie (1 eps),Aug 2000 - Aug 2000,"203,204",7.94
Wotaku ni Koi wa Muzukashii OVA,OVA (3 eps),Mar 2019 - Oct 2021,"211,925",7.94
Xian Ni,ONA (76 eps),Sep 2023 -,"2,421",7.94
Yi Nian Yong Heng,ONA (52 eps),Aug 2020 - Jul 2021,"17,605",7.94
Wotaku ni Koi wa Muzukashii,TV (11 eps),Apr 2018 - Jun 2018,"1,002,947",7.93
xxxHOLiC Movie: Manatsu no Yoru no Yume,Movie (1 eps),Aug 2005 - Aug 2005,"67,401",7.93
Yowamushi Pedal,TV (38 eps),Oct 2013 - Jul 2014,"235,303",7.93
Kindaichi Shounen no Jikenbo,TV (148 eps),Apr 1997 - Sep 2000,"32,051",7.93
Kobayashi-san Chi no Maid Dragon,TV (13 eps),Jan 2017 - Apr 2017,"1,247,365",7.93
Kono Oto Tomare!,TV (13 eps),Apr 2019 - Jun 2019,"313,161",7.93
Love Live! Superstar!!,TV (12 eps),Jul 2021 - Oct 2021,"70,687",7.93
Macross: Do You Remember Love?,Movie (1 eps),Jul 1984 - Jul 1984,"49,015",7.93
Mawaru Penguindrum,TV (24 eps),Jul 2011 - Dec 2011,"303,051",7.93
NieR:Automata Ver1.1a Part 2,TV (12 eps),Jul 2024 -,"64,479",7.93
Nurarihyon no Mago: Sennen Makyou,TV (24 eps),Jul 2011 - Dec 2011,"164,895",7.93
One Piece Film: Strong World Episode 0,OVA (1 eps),Apr 2010 - Apr 2010,"86,840",7.93
Osomatsu-san,TV (25 eps),Oct 2015 - Mar 2016,"173,997",7.93
Phantom: Requiem for the Phantom,TV (26 eps),Apr 2009 - Sep 2009,"338,080",7.93
Quanzhi Gaoshou 2,ONA (12 eps),Sep 2020 - Dec 2020,"120,217",7.93
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",Special (1 eps),Jul 2008 - Jul 2008,"307,461",7.93
Full Moon wo Sagashite,TV (52 eps),Apr 2002 - Mar 2003,"111,109",7.93
Hidamari Sketch x Honeycomb,TV (12 eps),Oct 2012 - Dec 2012,"24,488",7.93
Bungou Stray Dogs: Dead Apple,Movie (1 eps),Mar 2018 - Mar 2018,"286,579",7.92
Douluo Dalu,ONA (26 eps),Jan 2018 - Jul 2018,"29,513",7.92
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,Movie (1 eps),Aug 2017 - Aug 2017,"98,208",7.92
Full Metal Panic! The Second Raid,TV (13 eps),Jul 2005 - Oct 2005,"263,005",7.92
